Datum;Uhrzeit;Summe_Food;Summe_NonFood;Foto_Datei
30.06.25;16:08;0.0;62.78;Bon_25_07_08_6.jpeg
07.07.25;17:38;30.33;31.96;Bon_25_07_08_7.jpeg
26.06.2025;13:44;51.59;5.7;Bon_01.jpeg
02.07.2025;13:55:30;3.93;9.38;Bon_25_07_08_4.jpeg
30.06.2025;09:15:51;11.43;1.49;Bon_25_07_08_5.jpeg
