Datum;Uhrzeit;Summe_Food;Summe_NonFood;Foto_Datei
02.07.2025;13:55:30;3.93;9.38;Bon_02.jpeg
30.06.2025;09:15:51;12.92;0.0;Bon_03.jpeg
02.07.2025;14:00;6.75;0.00;Bon_01.jpeg
